Date,Country,Region,Total_Tickets,P1_Tickets,P2_Tickets,Open_Tickets,Closed_Tickets,Response_SLA_Breaches,Resolution_SLA_Breaches,Avg_Response_Time_Hrs,Avg_Resolution_Time_Hrs
2021-01-18,Singapore,APAC,25,2,8,17,8,14,9,6.2,65.36
2021-01-18,UK,EU,4,0,1,4,0,0,0,3.75,
2021-01-19,Australia,APAC,12,2,1,7,5,4,4,4.42,59.0
2021-01-19,Germany,EU,17,3,4,9,8,4,8,4.18,68.0
2021-01-19,India,APAC,47,2,6,25,22,10,15,5.4,55.74
2021-01-19,Singapore,APAC,13,1,3,9,4,3,3,5.15,68.25
2021-01-19,UK,EU,9,1,4,6,3,6,3,7.56,87.33
2021-01-20,Australia,APAC,7,1,1,5,2,1,2,6.0,54.5
2021-01-20,Germany,EU,14,1,0,7,7,2,8,3.93,60.91
2021-01-20,India,APAC,31,0,10,21,10,11,12,6.61,74.5
2021-01-20,Singapore,APAC,17,2,4,14,3,5,1,5.24,56.67
2021-01-20,UK,EU,6,0,2,3,3,0,2,4.33,56.33
2021-01-21,Australia,APAC,15,1,5,10,5,4,3,5.93,58.2
2021-01-21,Germany,EU,15,1,5,10,5,6,3,4.13,33.5
2021-01-21,India,APAC,33,2,7,19,14,9,11,5.48,46.94
2021-01-21,Singapore,APAC,17,0,0,14,3,2,2,4.88,45.0
2021-01-21,UK,EU,11,2,3,6,5,4,4,5.55,80.5
2021-01-22,Australia,APAC,17,0,5,10,7,6,7,5.71,62.56
2021-01-22,Germany,EU,18,0,4,9,9,4,8,5.5,66.22
2021-01-22,India,APAC,32,3,7,19,13,12,10,5.91,66.86
2021-01-22,Singapore,APAC,19,2,5,13,6,6,5,5.95,48.0
2021-01-22,UK,EU,6,0,0,4,2,0,1,4.83,65.0
2021-01-23,Australia,APAC,14,1,2,9,5,3,3,3.93,42.4
2021-01-23,Germany,EU,11,0,3,4,7,2,6,3.36,60.12
2021-01-23,India,APAC,29,4,3,17,12,8,10,4.93,68.5
2021-01-23,Singapore,APAC,27,2,7,15,12,4,12,3.85,70.5
2021-01-23,UK,EU,7,0,1,4,3,1,1,6.86,25.5
2021-01-24,Australia,APAC,17,2,3,11,6,6,5,6.24,68.83
2021-01-24,Germany,EU,27,4,8,18,9,7,9,4.11,76.18
2021-01-24,India,APAC,28,2,8,19,9,9,5,5.46,51.11
2021-01-24,Singapore,APAC,21,3,3,11,10,6,9,5.57,67.75
2021-01-24,UK,EU,6,0,0,3,3,0,3,5.0,79.75
2021-01-25,Australia,APAC,23,0,6,15,8,8,8,6.52,69.64
2021-01-25,Germany,EU,20,2,3,12,8,6,4,5.9,42.62
2021-01-25,India,APAC,29,1,7,21,8,12,9,5.79,59.22
2021-01-25,Singapore,APAC,14,2,1,7,7,2,6,4.5,76.71
2021-01-25,UK,EU,11,2,3,6,5,4,6,6.73,63.5
2021-01-26,Australia,APAC,15,1,4,7,8,5,8,6.0,74.78
2021-01-26,Germany,EU,33,2,9,14,19,16,15,7.18,62.55
2021-01-26,India,APAC,24,1,4,12,12,5,8,5.17,53.08
2021-01-26,Singapore,APAC,16,3,6,9,7,5,8,5.56,53.56
2021-01-26,UK,EU,6,1,1,3,3,1,3,5.17,61.67
2021-01-27,Australia,APAC,6,1,1,5,1,2,1,3.33,116.0
2021-01-27,Germany,EU,26,1,4,15,11,9,9,6.73,70.25
2021-01-27,India,APAC,26,2,9,12,14,9,12,5.65,79.64
2021-01-27,Singapore,APAC,23,2,5,11,12,7,9,5.65,50.5
2021-01-27,UK,EU,11,1,1,10,1,6,1,7.27,59.0
2021-01-28,Australia,APAC,21,0,7,13,8,6,6,4.43,67.62
2021-01-28,Germany,EU,22,8,2,13,9,9,7,4.59,59.91
2021-01-28,India,APAC,23,1,4,11,12,7,8,6.83,48.08
2021-01-28,Singapore,APAC,20,0,4,12,8,5,7,5.55,54.8
2021-01-28,UK,EU,6,0,3,5,1,2,0,5.83,9.0
2021-01-29,Australia,APAC,24,1,7,14,10,8,8,6.5,53.82
2021-01-29,Germany,EU,21,5,6,12,9,12,4,6.1,45.56
2021-01-29,India,APAC,27,1,5,15,12,8,8,5.7,60.85
2021-01-29,Singapore,APAC,24,2,8,18,6,8,7,6.54,77.75
2021-01-29,UK,EU,16,2,2,7,9,4,6,6.62,61.11
2021-01-30,Australia,APAC,18,1,1,7,11,5,9,6.28,59.82
2021-01-30,Germany,EU,16,4,3,13,3,8,3,5.62,72.0
2021-01-30,India,APAC,22,2,3,14,8,6,9,5.55,76.8
2021-01-30,Singapore,APAC,20,2,5,8,12,6,11,4.5,62.17
2021-01-30,UK,EU,7,2,0,4,3,2,2,4.0,30.25
2021-01-31,Australia,APAC,17,0,6,11,6,6,5,4.88,45.0
2021-01-31,Germany,EU,20,1,4,11,9,3,8,3.9,59.56
2021-01-31,India,APAC,31,1,7,19,12,4,10,4.16,60.93
2021-01-31,Singapore,APAC,16,3,4,11,5,8,5,6.56,49.17
2021-01-31,UK,EU,11,2,2,6,5,3,4,4.73,72.2
2021-02-01,Australia,APAC,19,3,6,10,9,9,6,6.05,66.56
2021-02-01,Germany,EU,11,0,3,9,2,2,1,6.0,64.0
2021-02-01,India,APAC,14,2,1,9,5,3,3,5.14,62.5
2021-02-01,Singapore,APAC,18,0,8,10,8,5,9,4.17,69.56
2021-02-01,UK,EU,7,1,1,3,4,4,3,6.57,70.75
2021-02-02,Australia,APAC,12,2,1,7,5,3,4,3.92,65.4
2021-02-02,Germany,EU,23,1,3,15,8,4,4,3.52,28.44
2021-02-02,India,APAC,25,0,7,12,13,8,13,5.08,82.86
2021-02-02,Singapore,APAC,16,2,3,10,6,5,8,4.81,69.62
2021-02-02,UK,EU,3,1,1,3,0,1,0,2.67,
2021-02-03,Australia,APAC,19,1,5,10,9,4,5,4.26,48.33
2021-02-03,Germany,EU,16,3,4,10,6,7,4,5.5,52.86
2021-02-03,India,APAC,26,4,3,15,11,8,9,5.62,59.17
2021-02-03,Singapore,APAC,18,2,2,12,6,4,6,4.94,76.33
2021-02-03,UK,EU,6,0,1,3,3,2,2,5.5,36.67
2021-02-04,Australia,APAC,12,1,1,5,7,4,6,7.0,66.88
2021-02-04,Germany,EU,16,1,3,10,6,3,3,4.88,51.5
2021-02-04,India,APAC,32,5,4,16,16,11,11,5.12,49.65
2021-02-04,Singapore,APAC,18,1,5,13,5,4,5,5.11,59.0
2021-02-04,UK,EU,8,0,2,6,2,3,1,5.62,33.5
2021-02-05,Australia,APAC,19,1,3,11,8,4,9,4.42,60.5
2021-02-05,Germany,EU,15,1,5,12,3,5,2,5.8,24.75
2021-02-05,India,APAC,30,4,4,23,7,14,7,6.6,54.5
2021-02-05,Singapore,APAC,20,4,0,12,8,7,6,5.5,52.67
2021-02-05,UK,EU,10,2,1,7,3,4,2,5.9,70.33
2021-02-06,Australia,APAC,14,1,5,12,2,5,2,6.5,38.67
2021-02-06,Germany,EU,16,0,4,9,7,6,6,6.06,70.12
2021-02-06,India,APAC,27,4,7,17,10,11,11,5.3,69.0
2021-02-06,Singapore,APAC,12,0,1,5,7,2,4,6.42,65.0
2021-02-06,UK,EU,12,1,2,6,6,3,5,5.17,57.0
2021-02-07,Australia,APAC,11,0,2,9,2,5,0,6.18,17.0
2021-02-07,Germany,EU,19,4,5,14,5,10,3,6.68,42.0
2021-02-07,India,APAC,22,0,4,12,10,5,8,4.45,57.62
2021-02-07,Singapore,APAC,23,3,7,16,7,6,5,4.52,52.67
2021-02-07,UK,EU,7,0,3,4,3,1,2,5.86,71.33
2021-02-08,Australia,APAC,24,3,4,11,13,8,12,5.96,55.87
2021-02-08,Germany,EU,23,1,3,14,9,8,7,5.13,57.11
2021-02-08,India,APAC,24,1,6,15,9,6,8,5.17,55.55
2021-02-08,Singapore,APAC,12,1,3,5,7,3,6,4.42,58.14
2021-02-08,UK,EU,6,1,2,2,4,1,4,2.0,75.25
2021-02-09,Australia,APAC,20,4,1,10,10,11,10,6.55,73.18
2021-02-09,Germany,EU,28,3,5,12,16,4,9,4.32,39.12
2021-02-09,India,APAC,29,2,6,12,17,9,13,5.83,65.71
2021-02-09,Singapore,APAC,19,2,3,10,9,7,9,5.11,63.8
2021-02-09,UK,EU,9,0,1,8,1,3,1,7.67,57.0
2021-02-10,Australia,APAC,22,4,3,15,7,7,5,5.77,64.86
2021-02-10,Germany,EU,15,1,6,8,7,5,4,4.2,40.25
2021-02-10,India,APAC,25,2,4,19,6,7,8,6.84,54.08
2021-02-10,Singapore,APAC,19,1,7,12,7,7,6,5.26,51.38
2021-02-10,UK,EU,10,0,1,5,5,4,4,6.1,57.4
2021-02-11,Australia,APAC,13,3,1,9,4,8,4,7.23,65.2
2021-02-11,Germany,EU,19,0,4,11,8,5,4,6.16,41.22
2021-02-11,India,APAC,23,2,4,11,12,7,11,5.39,59.86
2021-02-11,Singapore,APAC,20,1,5,10,10,9,7,5.65,51.2
2021-02-11,UK,EU,7,1,4,2,5,3,5,4.43,67.2
2021-02-12,Australia,APAC,17,1,7,12,5,6,4,5.41,66.0
2021-02-12,Germany,EU,25,1,5,13,12,8,10,5.64,72.38
2021-02-12,India,APAC,28,1,8,15,13,7,12,5.29,79.57
2021-02-12,Singapore,APAC,20,2,5,12,8,11,8,5.9,74.33
2021-02-12,UK,EU,10,1,1,6,4,1,3,4.8,56.25
2021-02-13,Australia,APAC,15,2,1,8,7,1,5,6.4,56.0
2021-02-13,Germany,EU,27,3,4,20,7,9,6,5.41,65.25
2021-02-13,India,APAC,28,6,5,23,5,10,7,5.64,52.57
2021-02-13,Singapore,APAC,22,4,5,11,11,10,11,5.77,78.31
2021-02-13,UK,EU,7,0,1,4,3,1,3,5.86,84.67
2021-02-14,Australia,APAC,12,0,5,7,5,6,4,6.25,69.0
2021-02-14,Germany,EU,16,2,6,8,8,10,9,7.06,70.78
2021-02-14,India,APAC,27,4,6,18,9,10,11,5.07,64.69
2021-02-14,Singapore,APAC,13,3,2,8,5,5,5,4.46,87.0
2021-02-14,UK,EU,9,0,1,6,3,1,2,5.33,61.67
2021-02-15,Australia,APAC,17,1,6,10,7,7,7,5.53,82.0
2021-02-15,Germany,EU,11,0,2,7,4,3,2,5.64,35.25
2021-02-15,India,APAC,28,2,7,16,12,11,10,5.82,58.29
2021-02-15,Singapore,APAC,21,1,4,10,11,5,6,5.29,56.25
2021-02-15,UK,EU,7,2,1,3,4,3,2,4.57,43.75
2021-02-16,Australia,APAC,17,1,3,13,4,3,4,4.24,62.2
2021-02-16,Germany,EU,27,0,7,17,10,11,6,6.37,47.7
2021-02-16,India,APAC,24,1,2,12,12,5,6,5.58,48.36
2021-02-16,Singapore,APAC,18,1,3,13,5,7,5,6.83,84.8
2021-02-16,UK,EU,6,0,1,2,4,0,4,2.83,62.5
2021-02-17,Australia,APAC,18,0,4,10,8,4,7,6.0,55.1
2021-02-17,Germany,EU,26,1,8,18,8,8,4,6.23,45.33
2021-02-17,India,APAC,24,0,7,14,10,10,9,6.17,57.62
2021-02-17,Singapore,APAC,15,1,4,8,7,4,6,5.8,60.5
2021-02-17,UK,EU,9,0,4,6,3,4,3,5.89,94.67
2021-02-18,Australia,APAC,15,1,4,9,6,4,4,5.67,50.71
2021-02-18,Germany,EU,19,3,2,11,8,6,5,5.42,56.75
2021-02-18,India,APAC,26,4,5,15,11,9,8,6.12,47.91
2021-02-18,Singapore,APAC,23,3,6,15,8,7,7,5.61,57.8
2021-02-18,UK,EU,12,0,1,10,2,3,3,7.5,67.67
2021-02-19,Australia,APAC,16,2,1,6,10,4,8,5.94,72.9
2021-02-19,Germany,EU,17,3,3,9,8,7,5,5.24,39.89
2021-02-19,India,APAC,30,1,8,18,12,10,7,5.27,61.33
2021-02-19,Singapore,APAC,22,1,2,11,11,5,10,5.82,59.27
2021-02-19,UK,EU,5,0,1,3,2,2,3,6.6,97.33
2021-02-20,Australia,APAC,17,2,2,3,14,5,8,6.76,56.57
2021-02-20,Germany,EU,27,1,4,16,11,9,10,5.67,59.08
2021-02-20,India,APAC,31,0,12,16,15,7,11,5.42,66.8
2021-02-20,Singapore,APAC,20,3,7,7,13,6,10,4.6,64.77
2021-02-20,UK,EU,5,1,0,3,2,2,2,5.4,79.5
2021-02-21,Australia,APAC,21,3,5,9,12,5,10,6.0,66.69
2021-02-21,Germany,EU,21,2,4,15,6,6,3,5.9,25.71
2021-02-21,India,APAC,30,2,3,13,17,6,8,5.13,48.94
2021-02-21,Singapore,APAC,14,2,2,11,3,4,4,4.79,85.5
2021-02-21,UK,EU,4,0,1,2,2,0,1,5.25,61.0
2021-02-22,Australia,APAC,19,2,6,16,3,6,3,4.79,50.67
2021-02-22,Germany,EU,15,1,6,10,5,5,4,5.47,49.5
2021-02-22,India,APAC,25,0,6,15,10,6,7,5.28,53.6
2021-02-22,Singapore,APAC,18,0,5,9,9,5,7,5.22,55.8
2021-02-22,UK,EU,7,0,2,5,2,2,3,5.0,75.0
2021-02-23,Australia,APAC,15,0,3,8,7,2,4,4.8,44.71
2021-02-23,Germany,EU,18,0,3,12,6,5,2,5.06,25.14
2021-02-23,India,APAC,21,2,4,16,5,6,4,4.76,32.33
2021-02-23,Singapore,APAC,18,2,4,12,6,2,6,3.67,60.29
2021-02-23,UK,EU,6,1,3,2,4,4,3,5.5,58.0
2021-02-24,Australia,APAC,13,0,3,4,9,5,8,5.69,67.0
2021-02-24,Germany,EU,13,2,0,8,5,6,5,5.69,72.0
2021-02-24,India,APAC,29,0,5,18,11,6,10,5.28,58.36
2021-02-24,Singapore,APAC,15,1,3,7,8,5,8,5.0,76.0
2021-02-24,UK,EU,4,1,0,4,0,1,0,8.25,
2021-02-25,Australia,APAC,17,1,5,8,9,5,6,6.06,54.56
2021-02-25,Germany,EU,28,1,9,16,12,14,7,5.89,48.0
2021-02-25,India,APAC,28,0,5,20,8,6,8,4.93,55.89
2021-02-25,Singapore,APAC,15,1,5,9,6,7,7,4.27,61.71
2021-02-25,UK,EU,7,1,1,6,1,2,1,4.71,95.0
2021-02-26,Australia,APAC,20,1,4,9,11,6,8,4.95,57.27
2021-02-26,Germany,EU,18,0,5,11,7,7,5,6.61,57.57
2021-02-26,India,APAC,22,2,9,13,9,9,8,5.64,93.0
2021-02-26,Singapore,APAC,21,0,7,10,11,6,7,5.86,60.45
2021-02-26,UK,EU,6,0,0,2,4,0,3,3.0,62.75
2021-02-27,Australia,APAC,21,2,3,8,13,1,8,4.71,61.46
2021-02-27,Germany,EU,27,4,7,20,7,12,5,5.56,49.86
2021-02-27,India,APAC,29,4,6,18,11,13,8,6.79,60.75
2021-02-27,Singapore,APAC,20,0,2,14,6,3,5,5.4,44.43
2021-02-27,UK,EU,11,2,1,6,5,3,1,4.91,21.4
2021-02-28,Australia,APAC,20,0,5,14,6,4,5,4.15,68.67
2021-02-28,Germany,EU,35,4,5,24,11,11,10,5.49,60.64
2021-02-28,India,APAC,30,2,4,16,14,10,10,5.2,56.5
2021-02-28,Singapore,APAC,19,3,1,14,5,5,4,5.42,78.8
2021-02-28,UK,EU,10,1,3,5,5,2,4,4.9,67.0
2021-03-01,Australia,APAC,16,1,3,9,7,3,5,4.75,44.38
2021-03-01,Germany,EU,11,2,0,6,5,3,5,7.36,45.33
2021-03-01,India,APAC,38,2,9,22,16,12,14,5.55,65.44
2021-03-01,Singapore,APAC,22,1,4,13,9,4,7,4.77,62.83
2021-03-01,UK,EU,8,2,2,5,3,2,2,4.12,61.0
2021-03-02,Australia,APAC,18,1,4,11,7,6,5,5.22,37.71
2021-03-02,Germany,EU,26,0,7,16,10,4,6,4.73,40.1
2021-03-02,India,APAC,25,4,6,18,7,7,8,6.0,49.36
2021-03-02,Singapore,APAC,26,0,8,19,7,9,6,6.08,47.44
2021-03-02,UK,EU,9,0,1,5,4,1,4,3.78,78.0
2021-03-03,Australia,APAC,21,2,4,13,8,6,4,5.0,54.25
2021-03-03,Germany,EU,25,1,2,12,13,9,12,6.0,74.85
2021-03-03,India,APAC,24,2,4,16,8,4,6,5.58,68.22
2021-03-03,Singapore,APAC,29,3,10,18,11,11,9,6.34,54.33
2021-03-03,UK,EU,6,0,0,4,2,0,2,5.67,79.33
2021-03-04,Australia,APAC,17,0,5,11,6,5,5,4.65,47.56
2021-03-04,Germany,EU,21,2,3,14,7,4,9,5.48,65.7
2021-03-04,India,APAC,17,1,3,10,7,7,3,6.88,24.86
2021-03-04,Singapore,APAC,19,2,4,13,6,3,6,4.11,67.29
2021-03-04,UK,EU,7,1,1,5,2,3,1,7.0,67.5
2021-03-05,Australia,APAC,22,1,5,14,8,5,4,4.82,47.12
2021-03-05,Germany,EU,26,2,4,13,13,5,10,5.85,72.08
2021-03-05,India,APAC,22,2,8,12,10,6,6,5.36,39.45
2021-03-05,Singapore,APAC,13,0,4,7,6,3,5,4.92,44.5
2021-03-05,UK,EU,10,0,1,5,5,4,2,6.8,51.4
2021-03-06,Australia,APAC,17,1,2,12,5,5,5,5.65,49.67
2021-03-06,Germany,EU,25,0,5,18,7,4,6,5.44,60.38
2021-03-06,India,APAC,28,2,11,13,15,11,13,6.07,63.27
2021-03-06,Singapore,APAC,9,1,3,5,4,4,2,5.89,28.5
2021-03-06,UK,EU,11,0,3,8,3,4,2,6.45,38.5
2021-03-07,Australia,APAC,22,1,7,13,9,9,9,5.86,57.91
2021-03-07,Germany,EU,21,1,4,16,5,11,6,6.81,75.14
2021-03-07,India,APAC,21,2,2,10,11,5,7,5.33,62.27
2021-03-07,Singapore,APAC,21,1,9,9,12,9,9,6.52,49.62
2021-03-07,UK,EU,5,0,1,2,3,0,2,5.4,76.0
2021-03-08,Australia,APAC,17,2,0,11,6,8,5,6.71,39.0
2021-03-08,Germany,EU,25,0,5,21,4,6,5,5.48,67.0
2021-03-08,India,APAC,19,2,2,8,11,5,10,5.21,58.5
2021-03-08,Singapore,APAC,18,1,4,14,4,3,4,5.22,48.0
2021-03-08,UK,EU,8,1,2,2,6,5,2,8.62,33.33
2021-03-09,Australia,APAC,12,1,2,7,5,4,6,5.83,43.75
2021-03-09,Germany,EU,31,2,9,21,10,9,6,4.19,53.77
2021-03-09,India,APAC,35,1,8,21,14,13,10,6.14,51.31
2021-03-09,Singapore,APAC,25,5,3,12,13,11,9,5.16,57.0
2021-03-09,UK,EU,8,1,2,5,3,3,3,6.12,73.33
2021-03-10,Australia,APAC,10,1,0,8,2,3,1,5.8,24.0
2021-03-10,Germany,EU,21,1,7,13,8,5,5,4.24,43.12
2021-03-10,India,APAC,25,0,5,13,12,6,12,5.56,69.47
2021-03-10,Singapore,APAC,21,1,3,13,8,5,6,5.9,60.1
2021-03-10,UK,EU,6,0,3,3,3,1,4,4.33,59.5
2021-03-11,Australia,APAC,15,1,5,7,8,5,7,5.53,55.8
2021-03-11,Germany,EU,18,2,5,10,8,4,7,5.89,67.12
2021-03-11,India,APAC,26,1,7,15,11,4,5,4.54,49.18
2021-03-11,Singapore,APAC,17,2,7,14,3,8,2,6.06,29.0
2021-03-11,UK,EU,6,1,1,2,4,4,2,8.17,44.5
2021-03-12,Australia,APAC,20,2,4,14,6,4,7,5.95,87.71
2021-03-12,Germany,EU,18,0,1,8,10,0,6,4.5,71.73
2021-03-12,India,APAC,29,2,4,18,11,7,8,5.14,50.64
2021-03-12,Singapore,APAC,18,2,2,12,6,5,6,4.67,51.12
2021-03-12,UK,EU,5,1,0,2,3,2,3,6.2,91.33
2021-03-13,Australia,APAC,19,2,6,6,13,5,13,5.58,64.93
2021-03-13,Germany,EU,21,1,2,14,7,2,7,4.05,67.38
2021-03-13,India,APAC,30,2,6,15,15,8,11,5.6,49.06
2021-03-13,Singapore,APAC,17,2,5,10,7,6,6,7.12,48.57
2021-03-13,UK,EU,11,0,2,6,5,2,6,5.73,55.83
2021-03-14,Australia,APAC,19,0,5,15,4,5,3,5.63,63.75
2021-03-14,Germany,EU,16,1,4,11,5,6,5,5.38,48.33
2021-03-14,India,APAC,25,3,5,13,12,12,10,6.32,62.75
2021-03-14,Singapore,APAC,19,1,2,11,8,6,9,7.11,89.2
2021-03-14,UK,EU,9,0,3,4,5,5,5,7.44,77.8
2021-03-15,Australia,APAC,16,3,4,9,7,5,5,5.62,62.71
2021-03-15,Germany,EU,16,1,3,10,6,3,4,5.81,42.0
2021-03-15,India,APAC,21,1,3,14,7,4,3,5.1,37.0
2021-03-15,Singapore,APAC,23,3,4,14,9,6,8,5.91,52.3
2021-03-15,UK,EU,11,0,3,6,5,3,5,4.09,58.0
2021-03-16,Australia,APAC,23,2,7,14,9,7,3,6.22,30.6
2021-03-16,Germany,EU,23,0,6,17,6,6,5,5.13,58.29
2021-03-16,India,APAC,22,0,4,12,10,7,5,5.91,42.9
2021-03-16,Singapore,APAC,22,2,7,11,11,10,5,5.73,45.09
2021-03-16,UK,EU,7,0,1,3,4,1,2,7.71,37.0
2021-03-17,Australia,APAC,18,0,3,7,11,2,7,5.56,53.33
2021-03-17,Germany,EU,26,1,3,17,9,4,10,4.85,71.17
2021-03-17,India,APAC,33,3,5,17,16,13,10,7.45,60.69
2021-03-17,Singapore,APAC,20,2,10,11,9,10,9,6.6,65.4
2021-03-17,UK,EU,6,1,0,1,5,2,4,5.33,40.2
2021-03-18,Australia,APAC,8,1,0,6,2,1,2,5.5,51.5
