Activity_ID,Ticket_Number,Activity_Timestamp,Activity_Type,Owner_Group,Reassignment_Flag
ACT000000121,INC0000002333,2021-02-09 22:00:00,Resolved,L2 Support,No
ACT000000122,INC0000002333,2021-02-10 17:00:00,Closed,App Team,No
ACT000000123,INC0000002333,2021-02-11 04:00:00,Waiting for Vendor,L3 Support,Yes
ACT000000124,INC0000002354,2021-02-13 02:00:00,Work In Progress,Vendor,No
ACT000000125,INC0000002354,2021-02-13 13:00:00,Waiting for Vendor,App Team,Yes
ACT000000126,REQ0000002375,2021-02-18 13:00:00,Ticket Created,L3 Support,No
ACT000000127,REQ0000002375,2021-02-18 18:00:00,Assigned to Support,L1 Support,No
ACT000000128,REQ0000002375,2021-02-19 16:00:00,Work In Progress,Network Team,No
ACT000000129,REQ0000002379,2021-02-28 16:00:00,Assigned to Support,L1 Support,No
ACT000000130,REQ0000002379,2021-02-28 18:00:00,Ticket Created,Vendor,No
ACT000000131,CHG0000002448,2021-02-25 16:00:00,Waiting for User,L3 Support,No
ACT000000132,CHG0000002448,2021-02-25 19:00:00,Waiting for Vendor,Vendor,No
ACT000000133,CHG0000002448,2021-02-26 00:00:00,Waiting for User,App Team,No
ACT000000134,CHG0000002448,2021-02-26 01:00:00,Waiting for User,L2 Support,No
ACT000000135,PRB0000002488,2021-03-01 02:00:00,Resolved,App Team,No
ACT000000136,PRB0000002488,2021-03-01 11:00:00,Waiting for User,App Team,No
ACT000000137,PRB0000002488,2021-03-02 04:00:00,Assigned to Support,Vendor,No
ACT000000138,CHG0000002535,2021-02-23 14:00:00,Resolved,App Team,No
ACT000000139,CHG0000002535,2021-02-24 03:00:00,Assigned to Support,L1 Support,No
ACT000000140,CHG0000002535,2021-02-24 09:00:00,Waiting for Vendor,Network Team,No
ACT000000141,CHG0000002535,2021-02-25 02:00:00,Work In Progress,L3 Support,No
ACT000000142,CHG0000002546,2021-02-05 19:00:00,Resolved,L1 Support,No
ACT000000143,CHG0000002546,2021-02-06 17:00:00,Waiting for Vendor,App Team,No
ACT000000144,PRB0000002611,2021-02-28 00:00:00,Reopened,Network Team,No
ACT000000145,PRB0000002611,2021-02-28 14:00:00,Ticket Created,App Team,No
ACT000000146,CHG0000002626,2021-02-02 21:00:00,Ticket Created,L1 Support,No
ACT000000147,CHG0000002626,2021-02-03 02:00:00,Resolved,Vendor,No
ACT000000148,CHG0000002626,2021-02-03 05:00:00,Ticket Created,L2 Support,No
ACT000000149,CHG0000002626,2021-02-04 02:00:00,Waiting for Vendor,Vendor,No
ACT000000150,CHG0000002626,2021-02-04 06:00:00,Waiting for Vendor,Network Team,No
ACT000000151,INC0000002697,2021-02-17 10:00:00,Ticket Created,Vendor,No
ACT000000152,INC0000002697,2021-02-17 19:00:00,Resolved,Vendor,No
ACT000000153,INC0000002697,2021-02-17 20:00:00,Assigned to Support,L2 Support,No
ACT000000154,INC0000002697,2021-02-18 05:00:00,Waiting for User,L2 Support,No
ACT000000155,REQ0000002811,2021-02-01 21:00:00,Assigned to Support,L3 Support,No
ACT000000156,REQ0000002811,2021-02-02 02:00:00,Resolved,L1 Support,No
ACT000000157,REQ0000002811,2021-02-02 21:00:00,Waiting for User,L2 Support,No
ACT000000158,REQ0000002811,2021-02-03 16:00:00,Assigned to Support,Network Team,No
ACT000000159,REQ0000002811,2021-02-03 22:00:00,Ticket Created,L2 Support,No
ACT000000160,CHG0000002894,2021-02-16 06:00:00,Waiting for Vendor,Network Team,No
ACT000000161,CHG0000002894,2021-02-16 20:00:00,Assigned to Support,Vendor,Yes
ACT000000162,REQ0000002937,2021-02-05 23:00:00,Work In Progress,L2 Support,No
ACT000000163,REQ0000002937,2021-02-06 15:00:00,Waiting for Vendor,App Team,No
ACT000000164,REQ0000002937,2021-02-07 10:00:00,Work In Progress,L3 Support,Yes
ACT000000165,REQ0000002937,2021-02-08 03:00:00,Assigned to Support,L3 Support,No
ACT000000166,INC0000002975,2021-02-15 01:00:00,Work In Progress,L2 Support,No
ACT000000167,INC0000002975,2021-02-15 07:00:00,Work In Progress,App Team,No
ACT000000168,INC0000002975,2021-02-15 20:00:00,Ticket Created,L1 Support,No
ACT000000169,INC0000002975,2021-02-16 10:00:00,Waiting for User,L1 Support,Yes
ACT000000170,CHG0000003048,2021-02-18 07:00:00,Work In Progress,L2 Support,No
ACT000000171,CHG0000003048,2021-02-19 05:00:00,Resolved,Network Team,Yes
ACT000000172,CHG0000003056,2021-02-24 03:00:00,Assigned to Support,L3 Support,No
ACT000000173,CHG0000003056,2021-02-25 01:00:00,Work In Progress,L3 Support,No
ACT000000174,CHG0000003056,2021-02-25 18:00:00,Ticket Created,L3 Support,No
ACT000000175,CHG0000003056,2021-02-26 13:00:00,Waiting for User,L2 Support,No
ACT000000176,CHG0000003056,2021-02-26 19:00:00,Assigned to Support,Vendor,No
ACT000000177,CHG0000003105,2021-02-02 23:00:00,Waiting for User,L1 Support,No
ACT000000178,CHG0000003105,2021-02-03 02:00:00,Assigned to Support,App Team,No
ACT000000179,CHG0000003105,2021-02-03 19:00:00,Closed,Network Team,No
ACT000000180,CHG0000003105,2021-02-04 01:00:00,Work In Progress,L1 Support,No
ACT000000181,CHG0000003105,2021-02-04 21:00:00,Ticket Created,Network Team,No
ACT000000182,INC0000003148,2021-02-08 17:00:00,Waiting for User,L1 Support,No
ACT000000183,INC0000003148,2021-02-09 14:00:00,Resolved,L1 Support,No
ACT000000184,INC0000003148,2021-02-09 17:00:00,Waiting for User,L1 Support,No
ACT000000185,INC0000003148,2021-02-10 03:00:00,Work In Progress,App Team,No
ACT000000186,CHG0000003167,2021-02-21 21:00:00,Assigned to Support,L3 Support,No
ACT000000187,CHG0000003167,2021-02-22 03:00:00,Ticket Created,Vendor,No
ACT000000188,CHG0000003167,2021-02-22 16:00:00,Assigned to Support,App Team,No
ACT000000189,CHG0000003167,2021-02-23 07:00:00,Closed,L2 Support,No
ACT000000190,PRB0000003181,2021-02-27 11:00:00,Resolved,Vendor,No
ACT000000191,PRB0000003181,2021-02-28 06:00:00,Assigned to Support,Network Team,No
ACT000000192,PRB0000003181,2021-02-28 18:00:00,Resolved,App Team,No
ACT000000193,PRB0000003181,2021-03-01 10:00:00,Ticket Created,Vendor,No
ACT000000194,PRB0000003181,2021-03-01 16:00:00,Work In Progress,Network Team,No
ACT000000195,INC0000003254,2021-02-16 23:00:00,Assigned to Support,App Team,No
ACT000000196,INC0000003254,2021-02-17 12:00:00,Work In Progress,L3 Support,Yes
ACT000000197,INC0000003254,2021-02-18 09:00:00,Work In Progress,L3 Support,No
ACT000000198,INC0000003254,2021-02-18 13:00:00,Assigned to Support,L2 Support,No
ACT000000199,PRB0000003301,2021-02-14 15:00:00,Ticket Created,L3 Support,No
ACT000000200,PRB0000003301,2021-02-15 03:00:00,Waiting for User,L2 Support,No
ACT000000201,PRB0000003301,2021-02-15 16:00:00,Work In Progress,L2 Support,No
ACT000000202,PRB0000003301,2021-02-16 05:00:00,Closed,App Team,No
ACT000000203,INC0000003362,2021-02-24 00:00:00,Assigned to Support,L3 Support,No
ACT000000204,INC0000003362,2021-02-24 10:00:00,Resolved,Network Team,No
ACT000000205,INC0000003483,2021-02-02 01:00:00,Ticket Created,Vendor,No
ACT000000206,INC0000003483,2021-02-02 03:00:00,Work In Progress,App Team,No
ACT000000207,INC0000003483,2021-02-02 15:00:00,Work In Progress,L2 Support,No
ACT000000208,INC0000003483,2021-02-03 00:00:00,Assigned to Support,App Team,No
ACT000000209,INC0000003483,2021-02-03 01:00:00,Waiting for User,L2 Support,No
ACT000000210,REQ0000003531,2021-02-09 07:00:00,Assigned to Support,L1 Support,No
ACT000000211,REQ0000003531,2021-02-09 17:00:00,Ticket Created,L2 Support,No
ACT000000212,REQ0000003531,2021-02-10 14:00:00,Work In Progress,Vendor,No
ACT000000213,REQ0000003531,2021-02-11 06:00:00,Work In Progress,Network Team,No
ACT000000214,REQ0000003531,2021-02-11 10:00:00,Ticket Created,L2 Support,No
ACT000000215,PRB0000003668,2021-02-20 22:00:00,Resolved,Network Team,No
ACT000000216,PRB0000003668,2021-02-21 03:00:00,Ticket Created,L1 Support,No
ACT000000217,PRB0000003668,2021-02-21 19:00:00,Work In Progress,L3 Support,No
ACT000000218,PRB0000003668,2021-02-22 12:00:00,Work In Progress,Vendor,No
ACT000000219,PRB0000003668,2021-02-23 07:00:00,Waiting for Vendor,L3 Support,No
ACT000000220,INC0000003673,2021-02-26 10:00:00,Assigned to Support,L2 Support,No
ACT000000221,INC0000003673,2021-02-26 11:00:00,Closed,Vendor,No
ACT000000222,REQ0000003783,2021-02-21 15:00:00,Assigned to Support,L1 Support,No
ACT000000223,REQ0000003783,2021-02-22 05:00:00,Ticket Created,App Team,No
ACT000000224,INC0000003833,2021-02-07 04:00:00,Resolved,L3 Support,No
ACT000000225,INC0000003833,2021-02-07 16:00:00,Work In Progress,App Team,No
ACT000000226,INC0000003833,2021-02-08 11:00:00,Waiting for User,Network Team,No
ACT000000227,PRB0000003839,2021-02-06 01:00:00,Work In Progress,L1 Support,Yes
ACT000000228,PRB0000003839,2021-02-06 16:00:00,Waiting for Vendor,L2 Support,No
ACT000000229,PRB0000003839,2021-02-06 23:00:00,Assigned to Support,Vendor,No
ACT000000230,REQ0000003943,2021-02-17 10:00:00,Ticket Created,App Team,No
ACT000000231,REQ0000003943,2021-02-17 18:00:00,Work In Progress,L1 Support,No
ACT000000232,REQ0000003943,2021-02-18 12:00:00,Work In Progress,L2 Support,No
ACT000000233,INC0000004049,2021-02-06 12:00:00,Assigned to Support,App Team,No
ACT000000234,INC0000004049,2021-02-07 11:00:00,Ticket Created,L2 Support,No
ACT000000235,INC0000004049,2021-02-07 12:00:00,Work In Progress,L1 Support,No
ACT000000236,INC0000004049,2021-02-07 23:00:00,Waiting for User,L1 Support,No
ACT000000237,REQ0000004077,2021-02-16 18:00:00,Resolved,App Team,No
ACT000000238,REQ0000004077,2021-02-17 07:00:00,Resolved,Network Team,No
ACT000000239,PRB0000004197,2021-02-07 15:00:00,Work In Progress,Network Team,No
ACT000000240,PRB0000004197,2021-02-08 13:00:00,Assigned to Support,Network Team,No
ACT000000241,REQ0000004258,2021-02-11 03:00:00,Work In Progress,L3 Support,Yes
ACT000000242,REQ0000004258,2021-02-11 21:00:00,Ticket Created,L1 Support,No
ACT000000243,REQ0000004258,2021-02-12 07:00:00,Waiting for User,L1 Support,No
ACT000000244,REQ0000004258,2021-02-13 04:00:00,Work In Progress,L1 Support,No
ACT000000245,CHG0000004269,2021-02-05 12:00:00,Assigned to Support,L1 Support,No
ACT000000246,CHG0000004269,2021-02-06 10:00:00,Waiting for User,L1 Support,No
ACT000000247,CHG0000004269,2021-02-06 18:00:00,Waiting for User,L2 Support,No
ACT000000248,CHG0000004269,2021-02-07 03:00:00,Assigned to Support,Network Team,No
ACT000000249,CHG0000004269,2021-02-07 09:00:00,Work In Progress,L2 Support,No
ACT000000250,INC0000004303,2021-02-21 15:00:00,Waiting for User,Vendor,No
ACT000000251,INC0000004303,2021-02-22 12:00:00,Assigned to Support,Vendor,No
ACT000000252,INC0000004303,2021-02-23 06:00:00,Ticket Created,App Team,Yes
ACT000000253,PRB0000004335,2021-02-10 13:00:00,Waiting for Vendor,Network Team,No
ACT000000254,PRB0000004335,2021-02-10 22:00:00,Ticket Created,L2 Support,No
ACT000000255,INC0000004368,2021-03-01 14:00:00,Work In Progress,L3 Support,No
ACT000000256,INC0000004368,2021-03-01 22:00:00,Work In Progress,L1 Support,No
ACT000000257,INC0000004368,2021-03-02 01:00:00,Assigned to Support,L2 Support,Yes
ACT000000258,INC0000004368,2021-03-02 09:00:00,Waiting for User,Network Team,No
ACT000000259,INC0000004368,2021-03-03 08:00:00,Work In Progress,Vendor,No
ACT000000260,INC0000004374,2021-02-19 01:00:00,Work In Progress,Network Team,No
ACT000000261,INC0000004374,2021-02-19 02:00:00,Waiting for User,L1 Support,No
ACT000000262,INC0000004374,2021-02-19 20:00:00,Ticket Created,L3 Support,No
ACT000000263,INC0000004374,2021-02-20 04:00:00,Assigned to Support,Network Team,No
ACT000000264,INC0000004374,2021-02-21 03:00:00,Assigned to Support,Network Team,No
ACT000000265,REQ0000004432,2021-02-01 18:00:00,Waiting for User,L1 Support,No
ACT000000266,REQ0000004432,2021-02-02 06:00:00,Waiting for User,Vendor,No
ACT000000267,REQ0000004432,2021-02-02 19:00:00,Resolved,Vendor,No
ACT000000268,REQ0000004432,2021-02-03 07:00:00,Waiting for User,App Team,Yes
ACT000000269,REQ0000004552,2021-02-14 00:00:00,Assigned to Support,Network Team,No
ACT000000270,REQ0000004552,2021-02-14 14:00:00,Closed,L2 Support,No
ACT000000271,INC0000004578,2021-02-06 22:00:00,Waiting for Vendor,App Team,No
ACT000000272,INC0000004578,2021-02-07 20:00:00,Waiting for User,L1 Support,No
ACT000000273,INC0000004578,2021-02-08 11:00:00,Waiting for Vendor,Vendor,No
ACT000000274,INC0000004639,2021-02-26 11:00:00,Work In Progress,Vendor,No
ACT000000275,INC0000004639,2021-02-26 13:00:00,Work In Progress,L2 Support,No
ACT000000276,INC0000004639,2021-02-27 12:00:00,Resolved,L2 Support,Yes
ACT000000277,CHG0000004643,2021-02-17 04:00:00,Assigned to Support,L3 Support,No
ACT000000278,CHG0000004643,2021-02-17 12:00:00,Assigned to Support,App Team,No
ACT000000279,INC0000004649,2021-02-19 21:00:00,Assigned to Support,Vendor,No
ACT000000280,INC0000004649,2021-02-19 22:00:00,Waiting for User,L1 Support,No
ACT000000281,INC0000004669,2021-02-16 20:00:00,Waiting for Vendor,L3 Support,Yes
ACT000000282,INC0000004669,2021-02-17 05:00:00,Resolved,Network Team,No
ACT000000283,INC0000004669,2021-02-17 11:00:00,Work In Progress,L1 Support,No
ACT000000284,INC0000004669,2021-02-18 08:00:00,Work In Progress,Network Team,No
ACT000000285,INC0000004686,2021-02-23 02:00:00,Work In Progress,Vendor,No
ACT000000286,INC0000004686,2021-02-23 11:00:00,Waiting for Vendor,Network Team,No
ACT000000287,INC0000004686,2021-02-23 20:00:00,Waiting for Vendor,L2 Support,No
ACT000000288,INC0000004686,2021-02-24 04:00:00,Ticket Created,Network Team,Yes
ACT000000289,INC0000004686,2021-02-25 01:00:00,Waiting for User,App Team,No
ACT000000290,CHG0000004693,2021-02-17 07:00:00,Waiting for User,L3 Support,No
ACT000000291,CHG0000004693,2021-02-18 00:00:00,Ticket Created,Vendor,No
ACT000000292,CHG0000004693,2021-02-18 23:00:00,Waiting for Vendor,L2 Support,No
ACT000000293,CHG0000004695,2021-02-10 11:00:00,Work In Progress,L1 Support,No
ACT000000294,CHG0000004695,2021-02-10 18:00:00,Ticket Created,App Team,No
ACT000000295,CHG0000004695,2021-02-11 05:00:00,Ticket Created,L1 Support,No
ACT000000296,CHG0000004695,2021-02-11 20:00:00,Resolved,L2 Support,No
ACT000000297,CHG0000004695,2021-02-11 23:00:00,Work In Progress,L2 Support,No
ACT000000298,PRB0000004826,2021-02-08 07:00:00,Assigned to Support,Vendor,No
ACT000000299,PRB0000004826,2021-02-08 23:00:00,Work In Progress,L2 Support,No
ACT000000300,INC0000004830,2021-02-09 07:00:00,Ticket Created,Vendor,No
ACT000000301,INC0000004830,2021-02-09 19:00:00,Ticket Created,L3 Support,No
ACT000000302,INC0000004830,2021-02-10 07:00:00,Work In Progress,L2 Support,No
ACT000000303,INC0000004830,2021-02-11 04:00:00,Ticket Created,App Team,No
ACT000000304,REQ0000004950,2021-02-07 07:00:00,Ticket Created,L2 Support,No
ACT000000305,REQ0000004950,2021-02-08 00:00:00,Waiting for User,Vendor,No
ACT000000306,REQ0000004950,2021-02-08 20:00:00,Waiting for Vendor,L3 Support,No
ACT000000307,REQ0000004950,2021-02-09 05:00:00,Work In Progress,L2 Support,No
ACT000000308,REQ0000004950,2021-02-09 19:00:00,Work In Progress,App Team,No
ACT000000309,CHG0000004974,2021-02-14 14:00:00,Waiting for Vendor,App Team,No
ACT000000310,CHG0000004974,2021-02-14 22:00:00,Ticket Created,L1 Support,No
ACT000000311,CHG0000004974,2021-02-15 12:00:00,Ticket Created,L1 Support,No
ACT000000312,CHG0000004974,2021-02-15 21:00:00,Work In Progress,L2 Support,No
ACT000000313,CHG0000004974,2021-02-16 08:00:00,Waiting for Vendor,L3 Support,No
ACT000000314,CHG0000005016,2021-02-28 11:00:00,Work In Progress,App Team,No
ACT000000315,CHG0000005016,2021-02-28 16:00:00,Closed,App Team,No
ACT000000316,CHG0000005016,2021-03-01 10:00:00,Waiting for User,L3 Support,No
ACT000000317,CHG0000005016,2021-03-01 23:00:00,Waiting for User,L2 Support,No
ACT000000318,CHG0000005016,2021-03-02 04:00:00,Assigned to Support,L1 Support,No
ACT000000319,CHG0000005057,2021-02-12 14:00:00,Waiting for User,App Team,No
ACT000000320,CHG0000005057,2021-02-13 06:00:00,Waiting for User,Network Team,Yes
ACT000000321,CHG0000005057,2021-02-14 01:00:00,Resolved,App Team,No
ACT000000322,CHG0000005057,2021-02-14 03:00:00,Ticket Created,L1 Support,No
ACT000000323,REQ0000005102,2021-02-16 20:00:00,Waiting for Vendor,Network Team,No
ACT000000324,REQ0000005102,2021-02-17 18:00:00,Work In Progress,Vendor,Yes
ACT000000325,REQ0000005102,2021-02-17 22:00:00,Work In Progress,L3 Support,No
ACT000000326,CHG0000005271,2021-02-02 01:00:00,Work In Progress,Network Team,No
ACT000000327,CHG0000005271,2021-02-02 15:00:00,Waiting for User,L2 Support,No
ACT000000328,CHG0000005271,2021-02-03 12:00:00,Waiting for Vendor,Vendor,No
