Activity_ID,Ticket_Number,Activity_Timestamp,Activity_Type,Owner_Group,Reassignment_Flag
ACT000000072,PRB0000000787,2021-03-06 11:00:00,Waiting for User,App Team,No
ACT000000073,REQ0000000793,2021-03-06 01:00:00,Reopened,App Team,No
ACT000000074,REQ0000000793,2021-03-06 09:00:00,Resolved,Vendor,No
ACT000000075,REQ0000000793,2021-03-06 22:00:00,Waiting for User,Network Team,No
ACT000000076,REQ0000000793,2021-03-07 01:00:00,Resolved,Network Team,Yes
ACT000000077,REQ0000000897,2021-03-06 08:00:00,Waiting for User,Vendor,No
ACT000000078,REQ0000000897,2021-03-06 21:00:00,Ticket Created,L2 Support,No
ACT000000079,REQ0000000897,2021-03-07 18:00:00,Waiting for User,App Team,No
ACT000000080,REQ0000000897,2021-03-08 03:00:00,Ticket Created,Vendor,No
ACT000000081,REQ0000000897,2021-03-08 08:00:00,Resolved,L1 Support,No
ACT000000082,INC0000000938,2021-03-01 23:00:00,Waiting for Vendor,Network Team,No
ACT000000083,INC0000000938,2021-03-02 21:00:00,Work In Progress,Vendor,No
ACT000000084,INC0000000938,2021-03-02 23:00:00,Work In Progress,Network Team,No
ACT000000085,CHG0000001026,2021-03-26 09:00:00,Resolved,App Team,No
ACT000000086,CHG0000001026,2021-03-26 15:00:00,Work In Progress,L2 Support,No
ACT000000087,PRB0000001065,2021-03-25 14:00:00,Assigned to Support,L3 Support,No
ACT000000088,PRB0000001065,2021-03-26 09:00:00,Work In Progress,Network Team,No
ACT000000089,PRB0000001065,2021-03-26 15:00:00,Waiting for User,Network Team,No
ACT000000090,PRB0000001065,2021-03-27 00:00:00,Resolved,Network Team,No
ACT000000091,REQ0000001096,2021-03-27 20:00:00,Resolved,L1 Support,No
ACT000000092,REQ0000001096,2021-03-28 02:00:00,Resolved,Network Team,No
ACT000000093,REQ0000001096,2021-03-28 07:00:00,Assigned to Support,L2 Support,No
ACT000000094,INC0000001101,2021-03-19 08:00:00,Work In Progress,Network Team,No
ACT000000095,INC0000001101,2021-03-20 00:00:00,Work In Progress,L2 Support,No
ACT000000096,INC0000001101,2021-03-20 20:00:00,Waiting for Vendor,L2 Support,No
ACT000000097,INC0000001101,2021-03-21 01:00:00,Waiting for Vendor,Network Team,No
ACT000000098,PRB0000001147,2021-03-27 08:00:00,Assigned to Support,Network Team,No
ACT000000099,PRB0000001147,2021-03-27 09:00:00,Ticket Created,App Team,No
ACT000000100,PRB0000001147,2021-03-27 10:00:00,Waiting for User,L2 Support,No
ACT000000101,PRB0000001147,2021-03-27 14:00:00,Ticket Created,L1 Support,No
ACT000000102,PRB0000001147,2021-03-27 15:00:00,Work In Progress,Vendor,No
ACT000000103,REQ0000001148,2021-03-04 11:00:00,Work In Progress,L1 Support,No
ACT000000104,REQ0000001148,2021-03-04 17:00:00,Work In Progress,Network Team,No
ACT000000105,REQ0000001148,2021-03-05 09:00:00,Waiting for Vendor,App Team,No
ACT000000106,REQ0000001148,2021-03-06 07:00:00,Waiting for User,Network Team,No
ACT000000107,PRB0000001161,2021-03-25 07:00:00,Waiting for Vendor,App Team,No
ACT000000108,PRB0000001161,2021-03-25 18:00:00,Resolved,L1 Support,No
ACT000000109,PRB0000001161,2021-03-26 15:00:00,Assigned to Support,App Team,No
ACT000000110,PRB0000001161,2021-03-27 08:00:00,Resolved,Vendor,No
ACT000000111,CHG0000001184,2021-03-06 00:00:00,Ticket Created,L3 Support,No
ACT000000112,CHG0000001184,2021-03-06 04:00:00,Resolved,L2 Support,No
ACT000000113,CHG0000001184,2021-03-06 15:00:00,Waiting for User,Network Team,Yes
ACT000000114,PRB0000001192,2021-03-02 11:00:00,Ticket Created,App Team,No
ACT000000115,PRB0000001192,2021-03-03 04:00:00,Ticket Created,L2 Support,No
ACT000000116,PRB0000001192,2021-03-03 08:00:00,Ticket Created,L1 Support,No
ACT000000117,PRB0000001192,2021-03-03 21:00:00,Waiting for User,L3 Support,No
ACT000000118,PRB0000001192,2021-03-04 07:00:00,Waiting for Vendor,App Team,No
ACT000000119,PRB0000001294,2021-03-26 01:00:00,Assigned to Support,L2 Support,Yes
ACT000000120,PRB0000001294,2021-03-26 07:00:00,Assigned to Support,L2 Support,No
ACT000000121,REQ0000001375,2021-03-31 15:00:00,Waiting for User,Network Team,No
ACT000000122,REQ0000001375,2021-04-01 00:00:00,Reopened,Vendor,No
ACT000000123,REQ0000001375,2021-04-01 23:00:00,Work In Progress,L1 Support,No
ACT000000124,REQ0000001375,2021-04-02 01:00:00,Work In Progress,L3 Support,Yes
ACT000000125,REQ0000001375,2021-04-02 08:00:00,Waiting for User,L2 Support,No
ACT000000126,REQ0000001394,2021-03-11 07:00:00,Assigned to Support,L3 Support,No
ACT000000127,REQ0000001394,2021-03-11 09:00:00,Ticket Created,App Team,No
ACT000000128,REQ0000001394,2021-03-11 21:00:00,Resolved,Vendor,No
ACT000000129,REQ0000001394,2021-03-12 11:00:00,Resolved,L3 Support,No
ACT000000130,REQ0000001563,2021-03-20 07:00:00,Assigned to Support,Network Team,No
ACT000000131,REQ0000001563,2021-03-20 16:00:00,Assigned to Support,Vendor,Yes
ACT000000132,CHG0000001568,2021-03-16 04:00:00,Resolved,Vendor,No
ACT000000133,CHG0000001568,2021-03-16 19:00:00,Closed,Vendor,Yes
ACT000000134,PRB0000001590,2021-03-25 17:00:00,Work In Progress,L3 Support,No
ACT000000135,PRB0000001590,2021-03-26 16:00:00,Assigned to Support,L3 Support,No
ACT000000136,PRB0000001590,2021-03-27 13:00:00,Work In Progress,Vendor,No
ACT000000137,PRB0000001590,2021-03-28 08:00:00,Resolved,L3 Support,No
ACT000000138,REQ0000001599,2021-03-31 07:00:00,Resolved,Vendor,No
ACT000000139,REQ0000001599,2021-04-01 01:00:00,Closed,Vendor,No
ACT000000140,REQ0000001599,2021-04-01 03:00:00,Assigned to Support,L2 Support,No
ACT000000141,CHG0000001617,2021-03-22 08:00:00,Waiting for Vendor,L2 Support,No
ACT000000142,CHG0000001617,2021-03-22 14:00:00,Ticket Created,Vendor,No
ACT000000143,CHG0000001617,2021-03-23 04:00:00,Ticket Created,App Team,No
ACT000000144,CHG0000001636,2021-03-24 23:00:00,Waiting for User,L1 Support,No
ACT000000145,CHG0000001636,2021-03-25 14:00:00,Assigned to Support,App Team,Yes
ACT000000146,CHG0000001636,2021-03-26 01:00:00,Resolved,Vendor,No
ACT000000147,CHG0000001636,2021-03-26 13:00:00,Ticket Created,L3 Support,No
ACT000000148,PRB0000001796,2021-03-17 09:00:00,Resolved,L3 Support,No
ACT000000149,PRB0000001796,2021-03-18 05:00:00,Assigned to Support,App Team,No
ACT000000150,INC0000001803,2021-03-05 14:00:00,Assigned to Support,Vendor,No
ACT000000151,INC0000001803,2021-03-06 00:00:00,Waiting for User,Network Team,Yes
ACT000000152,INC0000001848,2021-03-27 06:00:00,Waiting for Vendor,L1 Support,No
ACT000000153,INC0000001848,2021-03-28 02:00:00,Ticket Created,L1 Support,No
ACT000000154,INC0000001848,2021-03-28 05:00:00,Waiting for Vendor,L3 Support,No
ACT000000155,INC0000001848,2021-03-28 10:00:00,Work In Progress,L1 Support,Yes
ACT000000156,INC0000001848,2021-03-28 21:00:00,Resolved,L3 Support,No
ACT000000157,CHG0000001849,2021-03-17 07:00:00,Waiting for Vendor,App Team,No
ACT000000158,CHG0000001849,2021-03-17 17:00:00,Waiting for Vendor,Vendor,No
ACT000000159,CHG0000001849,2021-03-18 04:00:00,Assigned to Support,App Team,Yes
ACT000000160,CHG0000001849,2021-03-18 14:00:00,Waiting for User,L1 Support,Yes
ACT000000161,CHG0000001849,2021-03-19 09:00:00,Waiting for Vendor,App Team,No
ACT000000162,REQ0000001863,2021-03-25 14:00:00,Assigned to Support,L2 Support,No
ACT000000163,REQ0000001863,2021-03-26 02:00:00,Ticket Created,L1 Support,No
ACT000000164,REQ0000001863,2021-03-26 05:00:00,Assigned to Support,L3 Support,No
ACT000000165,REQ0000001863,2021-03-27 04:00:00,Reopened,L3 Support,No
ACT000000166,INC0000001891,2021-03-10 11:00:00,Waiting for Vendor,App Team,No
ACT000000167,INC0000001891,2021-03-11 01:00:00,Ticket Created,L1 Support,No
ACT000000168,INC0000001891,2021-03-11 02:00:00,Waiting for User,App Team,No
ACT000000169,PRB0000002032,2021-03-07 16:00:00,Work In Progress,L1 Support,No
ACT000000170,PRB0000002032,2021-03-08 04:00:00,Ticket Created,L2 Support,No
ACT000000171,PRB0000002032,2021-03-09 03:00:00,Waiting for User,L1 Support,No
ACT000000172,CHG0000002043,2021-03-25 00:00:00,Ticket Created,L3 Support,No
ACT000000173,CHG0000002043,2021-03-25 13:00:00,Assigned to Support,L1 Support,No
ACT000000174,CHG0000002043,2021-03-26 09:00:00,Work In Progress,L1 Support,No
ACT000000175,PRB0000002049,2021-03-18 22:00:00,Waiting for Vendor,L3 Support,No
ACT000000176,PRB0000002049,2021-03-19 02:00:00,Work In Progress,Vendor,No
ACT000000177,INC0000002056,2021-03-14 04:00:00,Reopened,L1 Support,No
ACT000000178,INC0000002056,2021-03-14 23:00:00,Work In Progress,L1 Support,No
ACT000000179,INC0000002066,2021-03-18 20:00:00,Assigned to Support,L3 Support,No
ACT000000180,INC0000002066,2021-03-18 22:00:00,Ticket Created,L2 Support,No
ACT000000181,INC0000002066,2021-03-19 06:00:00,Ticket Created,Vendor,No
ACT000000182,INC0000002066,2021-03-20 05:00:00,Resolved,App Team,No
ACT000000183,INC0000002066,2021-03-21 02:00:00,Assigned to Support,L3 Support,No
ACT000000184,INC0000002115,2021-03-27 08:00:00,Work In Progress,L3 Support,No
ACT000000185,INC0000002115,2021-03-27 10:00:00,Ticket Created,Network Team,No
ACT000000186,INC0000002115,2021-03-28 02:00:00,Assigned to Support,L1 Support,No
ACT000000187,INC0000002115,2021-03-28 14:00:00,Work In Progress,Network Team,No
ACT000000188,INC0000002152,2021-03-06 01:00:00,Assigned to Support,Network Team,No
ACT000000189,INC0000002152,2021-03-06 07:00:00,Assigned to Support,L1 Support,No
ACT000000190,INC0000002152,2021-03-07 03:00:00,Assigned to Support,Network Team,No
ACT000000191,PRB0000002173,2021-03-14 14:00:00,Assigned to Support,Network Team,No
ACT000000192,PRB0000002173,2021-03-14 17:00:00,Ticket Created,L2 Support,No
ACT000000193,PRB0000002189,2021-03-10 22:00:00,Assigned to Support,L2 Support,No
ACT000000194,PRB0000002189,2021-03-11 01:00:00,Work In Progress,L2 Support,No
ACT000000195,PRB0000002189,2021-03-11 21:00:00,Waiting for User,L2 Support,No
ACT000000196,PRB0000002203,2021-03-31 19:00:00,Work In Progress,App Team,No
ACT000000197,PRB0000002203,2021-03-31 21:00:00,Waiting for Vendor,L2 Support,No
ACT000000198,PRB0000002203,2021-04-01 09:00:00,Assigned to Support,Network Team,No
ACT000000199,CHG0000002212,2021-03-12 00:00:00,Work In Progress,L1 Support,No
ACT000000200,CHG0000002212,2021-03-12 15:00:00,Work In Progress,Network Team,Yes
ACT000000201,CHG0000002212,2021-03-13 06:00:00,Work In Progress,Network Team,No
ACT000000202,CHG0000002212,2021-03-13 21:00:00,Work In Progress,Vendor,No
ACT000000203,CHG0000002212,2021-03-14 16:00:00,Ticket Created,L3 Support,No
ACT000000204,REQ0000002227,2021-03-14 17:00:00,Ticket Created,L3 Support,No
ACT000000205,REQ0000002227,2021-03-15 15:00:00,Ticket Created,Network Team,No
ACT000000206,REQ0000002227,2021-03-16 11:00:00,Waiting for Vendor,Vendor,No
ACT000000207,REQ0000002227,2021-03-16 18:00:00,Work In Progress,L2 Support,No
ACT000000208,PRB0000002435,2021-03-13 03:00:00,Work In Progress,Vendor,No
ACT000000209,PRB0000002435,2021-03-13 17:00:00,Ticket Created,Network Team,Yes
ACT000000210,PRB0000002435,2021-03-14 09:00:00,Waiting for User,App Team,No
ACT000000211,PRB0000002492,2021-03-27 00:00:00,Resolved,L2 Support,No
ACT000000212,PRB0000002492,2021-03-27 02:00:00,Assigned to Support,L2 Support,Yes
ACT000000213,PRB0000002515,2021-03-22 23:00:00,Assigned to Support,Network Team,No
ACT000000214,PRB0000002515,2021-03-23 20:00:00,Closed,Vendor,No
ACT000000215,PRB0000002515,2021-03-24 18:00:00,Waiting for User,Network Team,No
ACT000000216,PRB0000002515,2021-03-25 07:00:00,Resolved,Network Team,No
ACT000000217,PRB0000002515,2021-03-25 14:00:00,Work In Progress,Network Team,No
ACT000000218,INC0000002516,2021-03-29 08:00:00,Resolved,L1 Support,No
ACT000000219,INC0000002516,2021-03-29 21:00:00,Waiting for Vendor,L3 Support,No
ACT000000220,INC0000002516,2021-03-30 08:00:00,Ticket Created,Vendor,Yes
ACT000000221,CHG0000002531,2021-03-25 11:00:00,Waiting for Vendor,L2 Support,No
ACT000000222,CHG0000002531,2021-03-26 01:00:00,Ticket Created,L1 Support,Yes
ACT000000223,INC0000002553,2021-03-26 19:00:00,Work In Progress,L2 Support,No
ACT000000224,INC0000002553,2021-03-27 15:00:00,Waiting for User,L1 Support,No
ACT000000225,INC0000002553,2021-03-28 05:00:00,Resolved,Network Team,No
ACT000000226,INC0000002553,2021-03-28 20:00:00,Reopened,L3 Support,No
ACT000000227,INC0000002553,2021-03-29 18:00:00,Assigned to Support,Vendor,No
ACT000000228,REQ0000002556,2021-03-17 00:00:00,Work In Progress,L2 Support,No
ACT000000229,REQ0000002556,2021-03-17 16:00:00,Waiting for User,L3 Support,Yes
ACT000000230,REQ0000002556,2021-03-17 19:00:00,Waiting for Vendor,L1 Support,No
ACT000000231,REQ0000002556,2021-03-17 20:00:00,Work In Progress,Vendor,Yes
ACT000000232,REQ0000002556,2021-03-18 02:00:00,Reopened,L1 Support,No
ACT000000233,CHG0000002561,2021-03-17 11:00:00,Closed,L3 Support,No
ACT000000234,CHG0000002561,2021-03-17 13:00:00,Assigned to Support,L3 Support,No
ACT000000235,CHG0000002561,2021-03-18 05:00:00,Ticket Created,Vendor,No
ACT000000236,CHG0000002561,2021-03-18 12:00:00,Assigned to Support,App Team,No
ACT000000237,CHG0000002561,2021-03-18 13:00:00,Ticket Created,L1 Support,Yes
ACT000000238,REQ0000002616,2021-03-12 22:00:00,Waiting for User,L3 Support,Yes
ACT000000239,REQ0000002616,2021-03-13 16:00:00,Resolved,L2 Support,No
ACT000000240,REQ0000002616,2021-03-14 12:00:00,Assigned to Support,L1 Support,No
ACT000000241,INC0000002635,2021-03-22 17:00:00,Ticket Created,L3 Support,No
ACT000000242,INC0000002635,2021-03-22 19:00:00,Assigned to Support,App Team,No
ACT000000243,INC0000002635,2021-03-23 04:00:00,Assigned to Support,L2 Support,No
ACT000000244,INC0000002635,2021-03-24 01:00:00,Resolved,L3 Support,No
ACT000000245,REQ0000002642,2021-03-31 13:00:00,Ticket Created,Network Team,No
ACT000000246,REQ0000002642,2021-03-31 23:00:00,Assigned to Support,Vendor,No
ACT000000247,REQ0000002642,2021-04-01 11:00:00,Work In Progress,L2 Support,No
ACT000000248,REQ0000002642,2021-04-02 02:00:00,Assigned to Support,L3 Support,No
ACT000000249,REQ0000002642,2021-04-03 00:00:00,Waiting for User,App Team,No
ACT000000250,INC0000002666,2021-03-29 10:00:00,Waiting for Vendor,L1 Support,Yes
ACT000000251,INC0000002666,2021-03-29 12:00:00,Resolved,L1 Support,No
ACT000000252,INC0000002666,2021-03-30 05:00:00,Work In Progress,Network Team,No
ACT000000253,INC0000002666,2021-03-31 03:00:00,Work In Progress,L1 Support,No
ACT000000254,INC0000002666,2021-03-31 21:00:00,Ticket Created,L2 Support,No
ACT000000255,PRB0000002699,2021-03-31 14:00:00,Ticket Created,Vendor,No
ACT000000256,PRB0000002699,2021-04-01 03:00:00,Work In Progress,L1 Support,No
ACT000000257,PRB0000002699,2021-04-02 00:00:00,Assigned to Support,App Team,No
ACT000000258,PRB0000002699,2021-04-02 23:00:00,Resolved,Vendor,No
ACT000000259,PRB0000002762,2021-03-06 02:00:00,Waiting for Vendor,L1 Support,No
ACT000000260,PRB0000002762,2021-03-06 14:00:00,Ticket Created,Network Team,No
ACT000000261,PRB0000002762,2021-03-06 17:00:00,Work In Progress,L2 Support,No
ACT000000262,PRB0000002762,2021-03-07 06:00:00,Ticket Created,L2 Support,No
ACT000000263,CHG0000002795,2021-03-22 05:00:00,Ticket Created,Network Team,No
ACT000000264,CHG0000002795,2021-03-22 22:00:00,Waiting for User,Network Team,No
ACT000000265,CHG0000002795,2021-03-23 21:00:00,Assigned to Support,L1 Support,No
ACT000000266,INC0000002904,2021-03-08 09:00:00,Waiting for Vendor,L1 Support,No
ACT000000267,INC0000002904,2021-03-08 22:00:00,Resolved,L3 Support,No
ACT000000268,INC0000002904,2021-03-09 06:00:00,Work In Progress,App Team,No
ACT000000269,INC0000002904,2021-03-09 13:00:00,Work In Progress,L3 Support,No
ACT000000270,INC0000002905,2021-04-01 07:00:00,Waiting for User,L3 Support,No
ACT000000271,INC0000002905,2021-04-01 13:00:00,Assigned to Support,Network Team,No
ACT000000272,INC0000002905,2021-04-01 22:00:00,Assigned to Support,L1 Support,Yes
ACT000000273,INC0000002905,2021-04-02 20:00:00,Work In Progress,L3 Support,No
ACT000000274,PRB0000002913,2021-03-24 01:00:00,Assigned to Support,L1 Support,No
ACT000000275,PRB0000002913,2021-03-24 08:00:00,Waiting for User,L2 Support,No
ACT000000276,PRB0000002913,2021-03-24 23:00:00,Waiting for Vendor,L1 Support,No
ACT000000277,PRB0000002913,2021-03-25 22:00:00,Work In Progress,Network Team,Yes
ACT000000278,CHG0000003045,2021-03-29 09:00:00,Work In Progress,Vendor,No
ACT000000279,CHG0000003045,2021-03-30 04:00:00,Work In Progress,L3 Support,No
ACT000000280,PRB0000003085,2021-03-22 16:00:00,Waiting for User,L3 Support,No
ACT000000281,PRB0000003085,2021-03-22 22:00:00,Waiting for User,Network Team,No
ACT000000282,PRB0000003085,2021-03-23 12:00:00,Work In Progress,L3 Support,No
ACT000000283,PRB0000003085,2021-03-23 13:00:00,Waiting for User,Network Team,Yes
ACT000000284,INC0000003146,2021-03-06 17:00:00,Waiting for Vendor,L3 Support,No
ACT000000285,INC0000003146,2021-03-06 19:00:00,Waiting for User,L1 Support,Yes
ACT000000286,INC0000003146,2021-03-07 15:00:00,Waiting for Vendor,App Team,No
ACT000000287,INC0000003146,2021-03-07 21:00:00,Work In Progress,App Team,No
ACT000000288,INC0000003146,2021-03-07 23:00:00,Waiting for User,L1 Support,No
ACT000000289,REQ0000003155,2021-03-26 13:00:00,Work In Progress,L2 Support,No
ACT000000290,REQ0000003155,2021-03-27 10:00:00,Waiting for User,L2 Support,No
ACT000000291,REQ0000003155,2021-03-27 12:00:00,Work In Progress,L2 Support,No
ACT000000292,INC0000003178,2021-03-26 18:00:00,Waiting for Vendor,L1 Support,No
ACT000000293,INC0000003178,2021-03-27 14:00:00,Work In Progress,Network Team,No
ACT000000294,INC0000003180,2021-03-25 03:00:00,Work In Progress,L2 Support,No
ACT000000295,INC0000003180,2021-03-25 12:00:00,Ticket Created,App Team,No
ACT000000296,CHG0000003203,2021-03-15 23:00:00,Assigned to Support,Vendor,No
ACT000000297,CHG0000003203,2021-03-16 08:00:00,Ticket Created,L1 Support,Yes
ACT000000298,PRB0000003269,2021-03-27 13:00:00,Waiting for User,App Team,No
ACT000000299,PRB0000003269,2021-03-28 11:00:00,Ticket Created,L3 Support,No
ACT000000300,PRB0000003269,2021-03-29 09:00:00,Work In Progress,L1 Support,No
ACT000000301,INC0000003282,2021-03-02 23:00:00,Ticket Created,Vendor,No
ACT000000302,INC0000003282,2021-03-03 19:00:00,Resolved,L2 Support,No
ACT000000303,INC0000003282,2021-03-03 20:00:00,Resolved,App Team,No
ACT000000304,INC0000003282,2021-03-04 12:00:00,Assigned to Support,Vendor,No
ACT000000305,CHG0000003283,2021-03-29 18:00:00,Ticket Created,L2 Support,No
ACT000000306,CHG0000003283,2021-03-30 07:00:00,Work In Progress,App Team,Yes
ACT000000307,INC0000003311,2021-03-15 09:00:00,Resolved,L2 Support,No
ACT000000308,INC0000003311,2021-03-15 12:00:00,Ticket Created,L2 Support,Yes
ACT000000309,INC0000003311,2021-03-16 01:00:00,Waiting for User,L2 Support,No
ACT000000310,INC0000003311,2021-03-16 09:00:00,Ticket Created,L2 Support,Yes
ACT000000311,INC0000003321,2021-03-04 04:00:00,Work In Progress,L1 Support,No
ACT000000312,INC0000003321,2021-03-04 18:00:00,Assigned to Support,L1 Support,Yes
ACT000000313,INC0000003321,2021-03-05 10:00:00,Waiting for User,L2 Support,No
ACT000000314,INC0000003321,2021-03-06 06:00:00,Work In Progress,L2 Support,No
ACT000000315,INC0000003321,2021-03-06 20:00:00,Assigned to Support,L1 Support,No
ACT000000316,PRB0000003416,2021-03-10 19:00:00,Assigned to Support,L1 Support,Yes
ACT000000317,PRB0000003416,2021-03-11 08:00:00,Waiting for Vendor,L2 Support,No
ACT000000318,PRB0000003416,2021-03-12 01:00:00,Waiting for User,App Team,No
ACT000000319,INC0000003417,2021-03-19 21:00:00,Resolved,L2 Support,No
ACT000000320,INC0000003417,2021-03-20 19:00:00,Closed,L3 Support,No
ACT000000321,INC0000003417,2021-03-21 08:00:00,Assigned to Support,Vendor,No
ACT000000322,INC0000003436,2021-03-08 15:00:00,Waiting for Vendor,App Team,No
ACT000000323,INC0000003436,2021-03-09 12:00:00,Waiting for User,Vendor,No
ACT000000324,INC0000003436,2021-03-10 11:00:00,Waiting for User,App Team,No
ACT000000325,INC0000003436,2021-03-10 20:00:00,Waiting for User,Network Team,No
ACT000000326,INC0000003440,2021-03-18 08:00:00,Resolved,L2 Support,No
ACT000000327,INC0000003440,2021-03-19 04:00:00,Reopened,L3 Support,No
